,shape,type_of_organization,type_of_structure,type_of_event,kind_of_object,date_of_destruction,date_of_origin,category_txt,page_name,weblink1,street,OBJECTTYPE
8520,POINT (16.346984525955985 48.20418929109753),,,,,2000.0,1909.0,organisationen,Adriakino,https://www.geschichtewiki.wien.gv.at/?curid=57881,Burggasse 71,Kino
8547,POINT (16.34571910086311 48.200586086487455),,,,Verkehrsfläche,,2018.0,topografische_objekte,Dorothea-Neff-Weg,https://www.geschichtewiki.wien.gv.at/?curid=60240,Bandgasse 5/1,Verkehrsfläche
8648,POINT (16.352413015429114 48.204063041199255),,,,,1945.0,1942.0,organisationen,Zwangsarbeiterlager Burggasse 35,https://www.geschichtewiki.wien.gv.at/?curid=61353,Burggasse 35,NS-Institution
8670,POINT (16.34888641091217 48.20194105861907),,,,,,1783.0,organisationen,Zur goldenen Rose (Apotheke),https://www.geschichtewiki.wien.gv.at/?curid=27970,Neubaugasse 37,Apotheke
8743,POINT (16.343289860789852 48.20349539332644),,,,,1938.0,1924.0,organisationen,Jüdischer Verein Neubau Chewra Binjon Chudosch,https://www.geschichtewiki.wien.gv.at/?curid=67394,Schottenfeldgasse 60,Verein
8861,POINT (16.353540488331877 48.20218506392683),,,,,1992.0,1700.0,organisationen,Restaurant Schöner,https://www.geschichtewiki.wien.gv.at/?curid=56286,Siebensterngasse 19,Gebäude
8862,POINT (16.349789015374565 48.19849404047659),,,,,1924.0,1919.0,organisationen,Vita Filmindustrie AG,https://www.geschichtewiki.wien.gv.at/?curid=61421,Neubaugasse 1,Institution
8919,POINT (16.350914015242196 48.199908040626816),,,,,,,organisationen,"Kinema Film - Fabriks- und Handels-Aktiengesellschaft, Filiale Wien",https://www.geschichtewiki.wien.gv.at/?curid=69051,Zollergasse 8,Filmindustrie
8921,POINT (16.348968016356796 48.200878040682966),,,,,,,organisationen,Sascha Filmindustrie Aktiengesellschaft,https://www.geschichtewiki.wien.gv.at/?curid=69043,Neubaugasse 25/1,Filmindustrie
8922,POINT (16.350872016325606 48.19990004114263),,,,,,,organisationen,Transocean Film Co. Gesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=69040,Zollergasse 8,Filmindustrie
8924,POINT (16.345987140367882 48.20233740553957),,,,Werd,,,topografische_objekte,Banntaiding im Werd,https://www.geschichtewiki.wien.gv.at/?curid=2811,Bandgasse 19,Insel
8969,POINT (16.338749169556518 48.20415910664866),,,,,,1913.0,organisationen,Admiralkino,https://www.geschichtewiki.wien.gv.at/?curid=57898,Burggasse 119,Kino
8970,POINT (16.359713396007376 48.20144292132249),,,,,1909.0,1907.0,organisationen,Biographen Theater Weingärtner,https://www.geschichtewiki.wien.gv.at/?curid=57878,Mariahilfer Straße 8,Kino
8971,POINT (16.349995792875152 48.198689876695106),,,,,1917.0,1909.0,organisationen,Hackers Biographen Theater,https://www.geschichtewiki.wien.gv.at/?curid=57888,Neubaugasse 4,Kino
8972,POINT (16.339611537497706 48.2082270783302),,,,,1926.0,1919.0,organisationen,Invalidendankkino,https://www.geschichtewiki.wien.gv.at/?curid=57908,Lerchenfelder Straße 143-145,Kino
8974,POINT (16.351401399374048 48.20507003547661),,,,,1910.0,1909.0,organisationen,Kinematographentheater (Neubau),https://www.geschichtewiki.wien.gv.at/?curid=57883,Kirchengasse 43,Kino
8975,POINT (16.34074606784004 48.20131448565165),,,,,1999.0,1909.0,organisationen,"Kino Baier, Metropol - Uhu Kino",https://www.geschichtewiki.wien.gv.at/?curid=57886,Kaiserstraße 44-46/2,Kino
8977,POINT (16.35132431376619 48.2023526522141),,,,,1998.0,1914.0,organisationen,Kosmos Kino,https://www.geschichtewiki.wien.gv.at/?curid=57906,Siebensterngasse 42-44,Kino
8981,POINT (16.346984525955985 48.20418929109753),,,,,2000.0,1909.0,organisationen,Adriakino,https://www.geschichtewiki.wien.gv.at/?curid=69573,Burggasse 71,Kino
8985,POINT (16.346984525955985 48.20418929109753),,,,,2000.0,1909.0,organisationen,Adriakino,https://www.geschichtewiki.wien.gv.at/?curid=69569,Burggasse 71,Kino
8986,POINT (16.339253865942986 48.198508467298886),,,,,,,organisationen,Verlag Karl Schusdek,https://www.geschichtewiki.wien.gv.at/?curid=69557,Stollgasse 10,Verlag
9018,POINT (16.34971293681184 48.19832595422935),,,,,,1918.0,organisationen,Maria Theresienkino,https://www.geschichtewiki.wien.gv.at/?curid=57907,Neubaugasse 1,Kino
9020,POINT (16.349098743038574 48.203726370566955),,,,,1922.0,1914.0,organisationen,Neubauer Bürgerkino,https://www.geschichtewiki.wien.gv.at/?curid=57905,Neubaugasse 68,Kino
9021,POINT (16.345291253399004 48.20704163947104),,,,,,1910.0,organisationen,Neubauer Kino,https://www.geschichtewiki.wien.gv.at/?curid=57892,Lerchenfelder Straße 73,Kino
9024,POINT (16.35055333826785 48.20622370582559),,,,,,1913.0,organisationen,Phönixkino,https://www.geschichtewiki.wien.gv.at/?curid=57899,Lerchenfelder Straße 35,Kino
9025,POINT (16.34339791475963 48.198914144767286),,,,,,1913.0,organisationen,Schottenfelder Lichtspiele,https://www.geschichtewiki.wien.gv.at/?curid=57897,Schottenfeldgasse 22,Kino
9053,POINT (16.356449804810982 48.20490899484681),,,,,,1911.0,organisationen,Invalidendankkino - Bellariakino,https://www.geschichtewiki.wien.gv.at/?curid=57896,Museumstraße 3,Kino
9060,POINT (16.354153084072202 48.20128258882193),,,,,1939.0,1919.0,organisationen,E. P. Tal & Co. Verlag,https://www.geschichtewiki.wien.gv.at/?curid=69237,Lindengasse 4,Verlag
9110,POINT (16.348400063570843 48.19787670983086),,,,,,1921.0,organisationen,Kino Mariahilfer Straße 78,https://www.geschichtewiki.wien.gv.at/?curid=69797,Mariahilfer Straße 78-80,Kino
